gene_name	omim_inheritance	omim_phenotype
5-Opase	AR,AD	5-oxoprolinase deficiency, 260005 (3),
5'aHIF-1A		
53BP1		
53BP2		
54TM		
59-DAP		
59K		
5HTR2C		
5PTASE		
5T4		
5T4-AG		
6-16		
6.3		
6.8PL		
60B8AG		
64kD		
6A3-5	AD	coffin-siris syndrome 1, 135900 (3),
6C6-Ag	XLR,XL	deafness, dystonia, and cerebral hypomyelination, 300475 (3),
6Ckine		
6PGL		
7-60		
71-7A	XLD,XLR,XL	orofaciodigital syndrome i, 311200 (3), ; ?retinitis pigmentosa 23, 300424 (3), ; joubert syndrome 10, 300804 (3), ; simpson-golabi-behmel syndrome, type 2, 300209 (3),
721P		
753P9		
76P	AR	microcephaly and chorioretinopathy, 3, 616335 (3),
7A5		
7B2		
7B4		
7h3		
7L1a		
7L30.1		
7L30.2		
7SK		
7SL		
7SL1c		
80K-L		
82-FIP		
87U6	AD	auriculocondylar syndrome 1, 602483 (3),
8B	AR,AD	arthrogryposis multiplex congenita 3, myogenic type, 618484 (3), ; spinocerebellar ataxia, 8, 610743 (3), ; emery-dreifuss muscular dystrophy 4, 612998 (3),
8D6		methylmalonic aciduria, transient, due to transcobalamin receptor defect, 613646 (3)
8D6A		methylmalonic aciduria, transient, due to transcobalamin receptor defect, 613646 (3)
8HS20		
9-27		
90K		
9630046K23Rik	AR,AD	?muscular dystrophy, limb-girdle, 21, 617232 (3), ; dowling-degos disease 4, 615696 (3),
9F	XL,XLR	intellectual developmental disorder, syndromic, armfield type, 300261 (3),
9G8		
A-152E5.1		
A-923A4.1		
A-C1		
A-FABP		
A-LAP		
A-myb		
A-SCID	AR	omenn syndrome, 603554 (3), ; severe combined immunodeficiency, athabascan type, 602450 (3),
a1		
A1	AR	cerebellar ataxia, neuropathy, and vestibular areflexia syndrome, 614575 (3),
A1-5		
A12.2		
A14GALT		[blood group, p1pk system, p phenotype], 111400 (3); nor polyagglutination syndrome, 111400 (3); [blood group, p1pk system, p(2) phenotype], 111400 (3)
A15	XL,XLR	mental retardation, 58, 300210 (3),
A170	AD,AR	frontotemporal dementia and/or amyotrophic lateral sclerosis 3, 616437 (3), ; neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset, 617145 (3), ; myopathy, distal, with rimmed vacuoles, 617158 (3), ; paget disease of bone 3, 167250 (3),
A1A	AR	hemorrhagic diathesis due to antithrombin pittsburgh, 613490 (3), ; emphysema-cirrhosis, due to aat deficiency, 613490 (3), ; emphysema due to aat deficiency, 613490 (3),
A1AT	AR	hemorrhagic diathesis due to antithrombin pittsburgh, 613490 (3), ; emphysema-cirrhosis, due to aat deficiency, 613490 (3), ; emphysema due to aat deficiency, 613490 (3),
A1B		
A1BG		
A1CF		
A1S9T	XL,XLR	vexas syndrome, somatic, 301054 (3); spinal muscular atrophy, 2, infantile, 301830 (3),
A1U		
a2	AR	wrinkly skin syndrome, 278250 (3), ; cutis laxa, type iia, 219200 (3),
A2	AR,AR	muscular dystrophy, limb-girdle, 3, 608099 (3), |spondylometaphyseal dysplasia, axial, 602271 (3), ; retinal dystrophy with macular staphyloma, 617547 (3),
A20	AD	autoinflammatory syndrome, familial, behcet-like, 616744 (3),
A211C6.1		
A214N16.3		
A26B3		
A26C1		
A26C1A		
A26C3		
A28-RGS14		
A2AP	AR	alpha-2-plasmin inhibitor deficiency, 262850 (3),
A2BP1		
A2D		
A2HS	AR	?alopecia-mental retardation syndrome 1, 203650 (3),
A2LD1		
A2lp		
A2M	AD	{alzheimer disease, susceptibility to}, 104300 (3),
A2ML1	AD	{otitis media, susceptibility to}, 166760 (3),
A2MR	AR	?keratosis pilaris atrophicans, 604093 (3),
A2MRAP	AR	myopia 23, 615431 (3),
a2V	AR	wrinkly skin syndrome, 278250 (3), ; cutis laxa, type iia, 219200 (3),
a3	AR	osteopetrosis, 1, 259700 (3),
A33		
A34.5		
A3a	AR	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 9, 613818 (3), ; muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9, 616538 (3),
A3AR		
A3b	AR	muscular dystrophy, limb-girdle, 4, 604286 (3),
A3GALNT		[blood group, abo system], 616093 (3)
A3GALT1		[blood group, abo system], 616093 (3)
a4	AR	distal renal tubular acidosis 3, with or without sensorineural hearing loss, 602722 (3),
A4	AR	muscular dystrophy, limb-girdle, 5, 253700 (3),
A4-LSB		
A43		
A4GALT		[blood group, p1pk system, p phenotype], 111400 (3); nor polyagglutination syndrome, 111400 (3); [blood group, p1pk system, p(2) phenotype], 111400 (3)
A4GNT		
A6		
A6r		
A6RP		
A8-51		
AA	AD	sveinsson chorioretinal atrophy, 108985 (3),
AAA1		
AAAS	AR	achalasia-addisonianism-alacrimia syndrome, 231550 (3),
AAAT		
AAC-11		
AAC1		
AAC11		
AAC2	AR	[acetylation, slow], 243400 (3),
AACS		
AACT		cerebrovascular disease, occlusive (3); alpha-1-antichymotrypsin deficiency (3)
AADAC		
AADACL1		
AADAT		
AADC	AR	aromatic l-amino acid decarboxylase deficiency, 608643 (3),
AAF132	AR	cerebroretinal microangiopathy with calcifications and cysts, 612199 (3),
AAG3		
AAGAB	AD	keratoderma, palmoplantar, punctate type ia, 148600 (3),
AAIR8193		
AAK1		
AAKG	AD	glycogen storage disease of heart, lethal congenital, 261740 (3), ; wolff-parkinson-white syndrome, 194200 (3), ; cardiomyopathy, hypertrophic 6, 600858 (3),
AAKG2	AD	glycogen storage disease of heart, lethal congenital, 261740 (3), ; wolff-parkinson-white syndrome, 194200 (3), ; cardiomyopathy, hypertrophic 6, 600858 (3),
AAMP		
AANAT		
AAP	AR	alpha-2-plasmin inhibitor deficiency, 262850 (3),
AAP1		
AAR2		
AARS	AR,AD	developmental and epileptic encephalopathy 29, 616339 (3), ; charcot-marie-tooth disease, axonal, type 2n, 613287 (3),
AARS1	AR,AD	developmental and epileptic encephalopathy 29, 616339 (3), ; charcot-marie-tooth disease, axonal, type 2n, 613287 (3),
AARS2	AR	combined oxidative phosphorylation deficiency 8, 614096 (3), ; leukoencephalopathy, progressive, with ovarian failure, 615889 (3),
AARSD1		
AARSL	AR	combined oxidative phosphorylation deficiency 8, 614096 (3), ; leukoencephalopathy, progressive, with ovarian failure, 615889 (3),
AASD-PPT		
AASDH		
AASDHPPT		
AASS	AR	hyperlysinemia, 238700 (3),
AAT	AR	hemorrhagic diathesis due to antithrombin pittsburgh, 613490 (3), ; emphysema-cirrhosis, due to aat deficiency, 613490 (3), ; emphysema due to aat deficiency, 613490 (3),
AAT-1	AR	spermatogenic failure 51, 619177 (3),
AAT1	AR	spermatogenic failure 51, 619177 (3),
AAT1alpha	AR	spermatogenic failure 51, 619177 (3),
AATF		
AATK		
AATYK		
AATYK1		
AATYK2		
AAVR		
AAVS1		
AB-DIP	AD	ververi-brady syndrome, 617982 (3),
ABAD	XLD,XL	hsd10 mitochondrial disease, 300438 (3),
ABAT	AR	gaba-transaminase deficiency, 613163 (3),
ABBA		
ABBA-1		
ABC-C	AR	surfactant metabolism dysfunction, pulmonary, 3, 610921 (3),
ABC1	AR	hdl deficiency, familial, 1, 604091 (3); tangier disease, 205400 (3),
ABC16	AR	cholestasis, progressive familial intrahepatic 2, 601847 (3), ; cholestasis, benign recurrent intrahepatic, 2, 605479 (3),
ABC2	AR	intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808 (3),
ABC20		{inflammatory bowel disease 13}, 612244 (3); {colchicine resistance}, 120080 (3)
ABC28		
ABC3	AR	surfactant metabolism dysfunction, pulmonary, 3, 610921 (3),
ABC35	AD,AR	{bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3), ; sweat chloride elevation without cf (3); {hypertrypsinemia, neonatal} (3); cystic fibrosis, 219700 (3), ; congenital bilateral absence of vas deferens, 277180 (3), ; {pancreatitis, hereditary}, 167800 (3),
ABC36	AD,AR	diabetes mellitus, noninsulin-dependent, 125853 (3), ; diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), ; diabetes mellitus, transient neonatal 2, 610374 (3); hyperinsulinemic hypoglycemia, familial, 1, 256450 (3), ; hypoglycemia of infancy, leucine-sensitive, 240800 (3),
ABC50		
ABC7	XLR,XL	anemia, sideroblastic, with ataxia, 301310 (3),
ABC8		
ABCA1	AR	hdl deficiency, familial, 1, 604091 (3); tangier disease, 205400 (3),
ABCA10		
ABCA12	AR	ichthyosis, congenital, 4b (harlequin), 242500 (3), ; ichthyosis, congenital, 4a, 601277 (3),
ABCA13		
ABCA2	AR	intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808 (3),
ABCA3	AR	surfactant metabolism dysfunction, pulmonary, 3, 610921 (3),
ABCA4	AR,AD	retinal dystrophy, early-onset severe, 248200 (3), ; stargardt disease 1, 248200 (3), ; fundus flavimaculatus, 248200 (3), ; {macular degeneration, age-related, 2}, 153800 (3), ; cone-rod dystrophy 3, 604116 (3); retinitis pigmentosa 19, 601718 (3),
ABCA5	AR	?hypertrichosis, congenital generalized, with gingival hyperplasia, 135400 (3),
ABCA6		
ABCA7	AD	{alzheimer disease 9, susceptibility to}, 608907 (3),
ABCA8		
ABCA9		
ABCB1		{inflammatory bowel disease 13}, 612244 (3); {colchicine resistance}, 120080 (3)
ABCB10		
ABCB11	AR	cholestasis, progressive familial intrahepatic 2, 601847 (3), ; cholestasis, benign recurrent intrahepatic, 2, 605479 (3),
ABCB2	AR	bare lymphocyte syndrome, type i, 604571 (3),
ABCB3	AR	bare lymphocyte syndrome, type i, due to tap2 deficiency, 604571 (3),
ABCB4	AR,AD	gallbladder disease 1, 600803 (3), ; cholestasis, intrahepatic, of pregnancy, 3, 614972 (3), ; cholestasis, progressive familial intrahepatic 3, 602347 (3),
ABCB5		
ABCB5alpha		
ABCB5beta		
ABCB6	AD	dyschromatosis universalis hereditaria 3, 615402 (3), ; microphthalmia, isolated, with coloboma 7, 614497 (3), ; [blood group, langereis system], 111600 (3); pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3),
ABCB7	XLR,XL	anemia, sideroblastic, with ataxia, 301310 (3),
ABCB8		
ABCB9		
ABCC1	AD	?deafness, 77, 618915 (3),
ABCC10		
ABCC11	AD	[colostrum secretion, variation in], 117800 (3), ; [earwax, wet/dry], 117800 (3), ; [axillary odor, variation in], 117800 (3),
ABCC12		
ABCC13		
ABCC13P		
ABCC2	AR	dubin-johnson syndrome, 237500 (3),
ABCC3		
ABCC4		
ABCC5		
ABCC6	AR,AD	pseudoxanthoma elasticum, 264800 (3), ; pseudoxanthoma elasticum, forme fruste, 177850 (3), ; arterial calcification, generalized, of infancy, 2, 614473 (3),
ABCC7	AD,AR	{bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3), ; sweat chloride elevation without cf (3); {hypertrypsinemia, neonatal} (3); cystic fibrosis, 219700 (3), ; congenital bilateral absence of vas deferens, 277180 (3), ; {pancreatitis, hereditary}, 167800 (3),
ABCC8	AD,AR	diabetes mellitus, noninsulin-dependent, 125853 (3), ; diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), ; diabetes mellitus, transient neonatal 2, 610374 (3); hyperinsulinemic hypoglycemia, familial, 1, 256450 (3), ; hypoglycemia of infancy, leucine-sensitive, 240800 (3),
ABCC9	AD	hypertrichotic osteochondrodysplasia, 239850 (3), ; ?atrial fibrillation, familial, 12, 614050 (3), ; cardiomyopathy, dilated, 1o, 608569 (3),
ABCD-1		
ABCD-2		
ABCD-3		
ABCD1	XLR,XL	adrenomyeloneuropathy, adult, 300100 (3), ; adrenoleukodystrophy, 300100 (3),
ABCD2		
ABCD3	AR	?bile acid synthesis defect, congenital, 5, 616278 (3),
ABCD4	AR	methylmalonic aciduria and homocystinuria, cblj type, 614857 (3),
ABCE1		
ABCF1		
ABCF2		
ABCF3		
ABCG1		
ABCG2	AD	[junior blood group system], 614490 (3); [uric acid concentration, serum, qtl1], 138900 (3), ?
ABCG4		
ABCG5	AR	sitosterolemia 2, 618666 (3),
ABCG8	AR	{gallbladder disease 4}, 611465 (3); sitosterolemia 1, 210250 (3),
ABCP	AD	[junior blood group system], 614490 (3); [uric acid concentration, serum, qtl1], 138900 (3), ?
ABCR	AR,AD	retinal dystrophy, early-onset severe, 248200 (3), ; stargardt disease 1, 248200 (3), ; fundus flavimaculatus, 248200 (3), ; {macular degeneration, age-related, 2}, 153800 (3), ; cone-rod dystrophy 3, 604116 (3); retinitis pigmentosa 19, 601718 (3),
ABCX	AD	{alzheimer disease 9, susceptibility to}, 608907 (3),
ABDH19		
ABF-1		
ABH		
ABH2		
ABHD1		
ABHD10		
ABHD11-AS1		
ABHD12	AR	polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3),
ABHD12A	AR	polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3),
ABHD14A		
ABHD16A		
ABHD17A		
ABHD17B		
ABHD17C		
ABHD2		
ABHD20	AR,AD	{hypercholesterolemia, familial, due to ldlr defect, modifier of}, 143890 (3),
ABHD21	AR	mast syndrome, 248900 (3),
ABHD3		
ABHD5	AR	chanarin-dorfman syndrome, 275630 (3),
ABHD6		
ABHD7		
ABHD9		
ABI-1		
ABI-2		
ABI1		
ABI2		
ABI2B		
ABI3		
ABI3BP		
ABIN-1		
ABIN-2		
ABL	AR,AD,AD	abetalipoproteinemia, 200100 (3), ; {metabolic syndrome, protection against}, 605552 (3), |leukemia, philadelphia chromosome-positive, resistant to imatinib, 608232 (3), somatic mutation; congenital heart defects and skeletal malformations syndrome, 617602 (3),
ABL1	AD	leukemia, philadelphia chromosome-positive, resistant to imatinib, 608232 (3), somatic mutation; congenital heart defects and skeletal malformations syndrome, 617602 (3),
ABL2		
AblBP3		
abLIM		
ABLIM		
ABLIM1		
ABLIM2		
ABLIM3		
ABLL		
ABO		[blood group, abo system], 616093 (3)
ABP		
ABP-278	AD,AR	larsen syndrome, 150250 (3), ; atelosteogenesis, type i, 108720 (3), ; boomerang dysplasia, 112310 (3), ; spondylocarpotarsal synostosis syndrome, 272460 (3), ; atelosteogenesis, type iii, 108721 (3),
ABP-280	AD,XLD,XLR,XL	cardiomyopathy, familial hypertrophic, 26, 617047 (3), ; myopathy, myofibrillar, 5, 609524 (3), ; cardiomyopathy, familial restrictive 5, 617047 (3), ; myopathy, distal, 4, 614065 (3), |otopalatodigital syndrome, type i, 311300 (3), ; congenital short bowel syndrome, 300048 (3), ; otopalatodigital syndrome, type ii, 304120 (3), ; intestinal pseudoobstruction, neuronal, 300048 (3), ; melnick-needles syndrome, 309350 (3), ; cardiac valvular dysplasia, 314400 (3), ; ?fg syndrome 2, 300321 (3), ; heterotopia, periventricular, 1, 300049 (3), ; terminal osseous dysplasia, 300244 (3), ; frontometaphyseal dysplasia 1, 305620 (3),
ABP1		
ABP125	AR	?neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies, 618651 (3),
ABP130	AR	?neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies, 618651 (3),
ABP620	AD	lissencephaly 9 with complex brainstem malformation, 618325 (3),
ABPL	AD	cardiomyopathy, familial hypertrophic, 26, 617047 (3), ; myopathy, myofibrillar, 5, 609524 (3), ; cardiomyopathy, familial restrictive 5, 617047 (3), ; myopathy, distal, 4, 614065 (3),
ABR		
ABRA		
ABRA1		
ABRAXAS		
ABRAXAS1		
ABRAXAS2		
ABRO1		
ABS	AD	{myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to}, 616871 (3),
ABT1		
ABTB1		
AC	AR	farber lipogranulomatosis, 228000 (3), ; spinal muscular atrophy with progressive myoclonic epilepsy, 159950 (3),
AC004542.C22.1	AD	developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy, 619090 (3), ; charcot-marie-tooth disease, axonal, type 2z, 616688 (3),
AC004997.C22.2		
AC008560.1		
AC1	AR	?deafness, 44, 610154 (3),
AC133	AR,AD	retinitis pigmentosa 41, 612095 (3), ; stargardt disease 4, 603786 (3), ; cone-rod dystrophy 12, 612657 (3), ; macular dystrophy, retinal, 2, 608051 (3),
AC19	AR,AD	treacher collins syndrome 2, 613717 (3),
AC2		
AC3	AR	{obesity, susceptibility to, bmiq19}, 617885 (3),
AC4		
AC40	AR	treacher collins syndrome 3, 248390 (3), ; leukodystrophy, hypomyelinating, 11, 616494 (3),
Ac45	XLR,XL	immunodeficiency 47, 300972 (3),
AC5	AD	dyskinesia, familial, with facial myokymia, 606703 (3),
AC6	AR	lethal congenital contracture syndrome 8, 616287 (3),
AC7		
AC8		
AC9		
ACA3-2		
ACA34		
ACA45		
ACA5c		
ACAA1		
ACAA2		
ACAC	AR	acetyl-coa carboxylase deficiency, 613933 (1),
ACACA	AR	acetyl-coa carboxylase deficiency, 613933 (1),
ACACB		
ACAD1	AR	acyl-coa dehydrogenase, medium chain, deficiency of, 201450 (3),
ACAD10		
ACAD11		
ACAD2	AR	isovaleric acidemia, 243500 (3),
ACAD3	AR	acyl-coa dehydrogenase, short-chain, deficiency of, 201470 (3),
ACAD4		
ACAD5	AR	glutaricaciduria, type i, 231670 (3),
ACAD6	AR	vlcad deficiency, 201475 (3),
ACAD7	AR	2-methylbutyrylglycinuria, 610006 (3),
ACAD8	AR	isobutyryl-coa dehydrogenase deficiency, 611283 (3),
ACAD9	AR	mitochondrial complex i deficiency, nuclear type 20, 611126 (3),
ACADL		
ACADM	AR	acyl-coa dehydrogenase, medium chain, deficiency of, 201450 (3),
ACADS	AR	acyl-coa dehydrogenase, short-chain, deficiency of, 201470 (3),
ACADSB	AR	2-methylbutyrylglycinuria, 610006 (3),
ACADVL	AR	vlcad deficiency, 201475 (3),
ACAM	AR	congenital short bowel syndrome, 615237 (3),
ACAN	AD,AR	short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans, 165800 (3), ; spondyloepimetaphyseal dysplasia, aggrecan type, 612813 (3), ; ?spondyloepiphyseal dysplasia, kimberley type, 608361 (3),
ACAP1		
ACAP2		
ACAS2		
ACAS2L		
ACAT	AR	alpha-methylacetoacetic aciduria, 203750 (3),
ACAT1	AR	alpha-methylacetoacetic aciduria, 203750 (3),
ACAT2		?acat2 deficiency, 614055 (1), isolated cases
ACATE2		
ACATN	AD,AR	spastic paraplegia 42, 612539 (3), ; congenital cataracts, hearing loss, and neurodegeneration, 614482 (3),
ACBD1		
ACBD2		
ACBD3		
ACBD5	AR	retinal dystrophy with leukodystrophy, 618863 (3),
ACBD6		
ACBP		
ACC	AR	acetyl-coa carboxylase deficiency, 613933 (1),
ACC-1		
ACC-2		
ACC-4		
ACC-5		
ACC-6		
ACC1	AR	acetyl-coa carboxylase deficiency, 613933 (1),
ACC2		
ACC4		
ACC5		
ACC6		
ACCA		
ACCB		
ACCN		
ACCN1		
ACCN2		
ACCN3		
ACCN4		
ACCN5		
ACCPN	AR	agenesis of the corpus callosum with peripheral neuropathy, 218000 (3),
ACCS		
ACD	AD,AR	?dyskeratosis congenita, 6, 616553 (3), ; ?dyskeratosis congenita, 7, 616553 (3),
ACDase	AR	farber lipogranulomatosis, 228000 (3), ; spinal muscular atrophy with progressive myoclonic epilepsy, 159950 (3),
ACDC		adiponectin deficiency, 612556 (3)
ACDCR1		
ACDCR2		
ACDP1		
ACDP2	AD,AR	hypomagnesemia 6, renal, 613882 (3), ; hypomagnesemia, seizures, and mental retardation, 616418 (3),
ACDP3		
ACDP4	AR	jalili syndrome, 217080 (3),
ACE	AR	renal tubular dysgenesis, 267430 (3), ; {myocardial infarction, susceptibility to} (3); {microvascular complications of diabetes 3}, 612624 (3); [angiotensin i-converting enzyme, benign serum increase] (3); {sars, progression of} (3); {stroke, hemorrhagic}, 614519 (3)
ACE1	AR	renal tubular dysgenesis, 267430 (3), ; {myocardial infarction, susceptibility to} (3); {microvascular complications of diabetes 3}, 612624 (3); [angiotensin i-converting enzyme, benign serum increase] (3); {sars, progression of} (3); {stroke, hemorrhagic}, 614519 (3)
ACE2		
AceCS		
AceCS2L		
ACEH		
ACER1		
ACER2		
ACER3	AR	?leukodystrophy, progressive, early childhood-onset, 617762 (3),
ACF		
ACF1		
ACF64		
ACF65		
ACF7	AD	lissencephaly 9 with complex brainstem malformation, 618325 (3),
ACG		
ACGNAT		
ACH	AD,AR	muenke syndrome, 602849 (3), ; nevus, epidermal, somatic, 162900 (3); thanatophoric dysplasia, type ii, 187601 (3), ; bladder cancer, somatic, 109800 (3); catshl syndrome, 610474 (3), ; crouzon syndrome with acanthosis nigricans, 612247 (3), ; hypochondroplasia, 146000 (3), ; ladd syndrome, 149730 (3), ; achondroplasia, 100800 (3), ; thanatophoric dysplasia, type i, 187600 (3), ; colorectal cancer, somatic, 114500 (3); spermatocytic seminoma, somatic, 273300 (3); cervical cancer, somatic, 603956 (3); saddan, 616482 (3),
ACH1		
ACH2		
ACHAP		
ACHE		[blood group, yt system], 112100 (3)
acheron		
ACHM1	AR	achromatopsia 3, 262300 (3),
ACHM2	AR	achromatopsia 2, 216900 (3),
ACHM3	AR	achromatopsia 3, 262300 (3),
ACHM4		achromatopsia 4, 613856 (3)
ACHM5	AR	cone dystrophy 4, 613093 (3),
ACHP	AD,AR	triphalangeal thumb-polysyndactyly syndrome, 174500 (3), ; syndactyly, type iv, 186200 (3), ; triphalangeal thumb, type i, 174500 (3), ; acheiropody, 200500 (3), ; laurin-sandrow syndrome, 135750 (3), ; hypoplastic or aplastic tibia with polydactyly, 188740 (3), ; polydactyly, preaxial type ii, 174500 (3),
ACHRD	AR,AD	?myasthenic syndrome, congenital, 3c, associated with acetylcholine receptor deficiency, 616323 (3), ; ?myasthenic syndrome, congenital, 3a, slow-channel, 616321 (3), ; myasthenic syndrome, congenital, 3b, fast-channel, 616322 (3), ; multiple pterygium syndrome, lethal type, 253290 (3),
ACHRE	AR,AD	myasthenic syndrome, congenital, 4a, slow-channel, 605809 (3), ; myasthenic syndrome, congenital, 4c, associated with acetylcholine receptor deficiency, 608931 (3), ; myasthenic syndrome, congenital, 4b, fast-channel, 616324 (3),
ACHRG	AR	escobar syndrome, 265000 (3), ; multiple pterygium syndrome, lethal type, 253290 (3),
ACID1	AR	basel-vanagait-smirin-yosef syndrome, 616449 (3),
ACIN1		
ACINUS		
ACK		
ACK1		
ACKR1	AR,AD	{malaria, vivax, protection against}, 611162 (3); [blood group, duffy system], 110700 (3), ; [white blood cell count qtl], 611862 (3),
ACKR2		
ACKR3	AR	?oculomotor-abducens synkinesis, 619215 (3),
ACKR4		
ACKR5		
ACKR6	AD	cone-rod dystrophy 5, 600977 (3),
ACL		
ACLP	AR	ehlers-danlos syndrome, classic-like, 2, 618000 (3),
ACLS	AD	polydactyly, postaxial, types a1 and b, 174200 (3), ; greig cephalopolysyndactyly syndrome, 175700 (3), ; polydactyly, preaxial, type iv, 174700 (3), ; pallister-hall syndrome, 146510 (3),
