"Ensembl_gene_id","Gnomad_oe_lof_score","Gnomad_oe_mis_score","Exac_pli_score","Exac_prec_score","Exac_pnull_score"
"ENSG00000010626",0.79021,0.94015,1.6187e-08,0.39594,0.60406
"ENSG00000008197",0.051796,0.86419,0.99344,0.0065597,1.9147e-07
"ENSG00000008405",0.55596,0.73621,1.8885e-09,0.99152,0.0084802
"ENSG00000008438",1.0839,0.88248,1.5882e-05,0.2539,0.74609
"ENSG00000010270",0.42233,0.78708,0.0057462,0.9736,0.020653
"ENSG00000008118",0.40618,0.72676,0.00039499,0.99789,0.0017179
"ENSG00000019582",0.24551,0.68624,0.2581,0.7408,0.0010994
"ENSG00000009780",0.42311,0.57843,0.0012535,0.99089,0.0078563
"ENSG00000091704",0.87123,0.83469,2.143e-11,0.12767,0.87233
"ENSG00000008282",0.35725,0.87445,0.048208,0.93048,0.021309
"ENSG00000010017",0,0.77431,1,2.0914e-06,2.8522e-15
"ENSG00000010610",0.42848,0.82179,0.00052955,0.99395,0.0055196
"ENSG00000011105",0.16071,0.66823,0.69046,0.30877,0.00077551
"ENSG00000011478",0.87762,0.88571,1.6467e-08,0.22938,0.77062
"ENSG00000011485",0.066099,0.55948,0.99943,0.00057146,1.0063e-10
"ENSG00000012963",0.21158,0.63679,0.51031,0.48966,3.0491e-05
"ENSG00000012983",0.12314,0.68536,0.99958,0.00041911,7.9248e-14
"ENSG00000241644",0.80707,1.0867,0.0030276,0.60297,0.39401
"ENSG00000012061",0.78322,0.85325,2.0685e-07,0.45794,0.54206
"ENSG00000013588",1.02,1.1118,5.9284e-08,0.13766,0.86234
"ENSG00000013583",0.9208,0.9672,3.704e-05,0.38608,0.61388
"ENSG00000014919",0.88732,0.92702,2.4962e-13,0.068022,0.93198
"ENSG00000071203",1.1428,1.0291,4.4419e-09,0.059668,0.94033
"ENSG00000015532",0.18119,0.7531,0.87421,0.12579,1.0396e-07
"ENSG00000080293",0.75779,1.0055,2.1443e-11,0.40524,0.59476
"ENSG00000017797",0.24809,0.69469,0.15654,0.84345,5.183e-06
"ENSG00000059915",0.18633,0.79428,0.91001,0.089991,1.7772e-09
"ENSG00000019505",0.17879,0.93854,0.68487,0.31496,0.00016663
"ENSG00000021488",0.74516,0.86408,9.7918e-10,0.50117,0.49883
"ENSG00000022277",0.43788,0.69736,0.002164,0.98055,0.017282
"ENSG00000022567",0.42532,0.88954,0.0001209,0.99798,0.001903
"ENSG00000023287",0.066036,0.90475,1,3.3274e-09,1.4769e-25
"ENSG00000023516",0.18162,0.95759,0.98751,0.012487,2.1569e-14
"ENSG00000007541",0.52874,0.98322,6.9642e-06,0.97792,0.022071
"ENSG00000079112",0.69924,0.95334,3.4085e-14,0.68758,0.31242
"ENSG00000027847",0.64743,1.0764,8.6125e-05,0.78901,0.21091
"ENSG00000031003",0.20184,0.87001,0.81562,0.18438,4.8866e-10
"ENSG00000033100",0.86332,1.0622,3.3588e-17,0.035565,0.96444
"ENSG00000033122",0.066266,0.62713,1,3.6713e-09,1.8767e-25
"ENSG00000034713",0.82893,0.62978,0.00022981,0.52757,0.4722
"ENSG00000034971",0.84647,0.8925,9.451e-12,0.15022,0.84978
"ENSG00000035141",0.92671,0.99974,0.00053758,0.4726,0.52686
"ENSG00000036473",0.12619,0.66805,0.88873,0.11123,4.4882e-05
"ENSG00000052841",0.12515,0.84809,0.99996,3.8587e-05,9.72e-18
"ENSG00000037965",0.19688,0.89007,0.48528,0.51034,0.0043755
"ENSG00000037757",0.51625,0.9268,0.0020647,0.91976,0.078176
"ENSG00000038219",0.16682,0.93614,0.99987,0.0001318,5.4439e-22
"ENSG00000059588",0.6342,1.0327,3.9037e-22,0.98754,0.01246
"ENSG00000040608",0,0.80896,0.95915,0.04077,8.5237e-05
"ENSG00000041357",0.19143,0.41714,0.58942,0.41019,0.00039338
"ENSG00000042813",0.449,0.81258,0.00036846,0.99042,0.0092112
"ENSG00000043462",0.14769,0.82392,0.97946,0.02054,5.2814e-09
"ENSG00000011465",0.25135,0.83881,0.23191,0.7667,0.0013939
"ENSG00000048462",1.2506,1.3498,1.5543e-06,0.13228,0.86772
"ENSG00000048544",1.0334,1.0811,1.1658e-08,0.10334,0.89666
"ENSG00000030582",0.27534,0.98307,0.053281,0.94669,3.227e-05
"ENSG00000041988",0.47336,0.93309,0.036865,0.84184,0.12129
"ENSG00000049245",0.638,0.95724,0.0021751,0.76729,0.23054
"ENSG00000049247",0.51622,0.90895,0.029311,0.81493,0.15576
"ENSG00000049449",0.58125,0.92573,0.0001641,0.88829,0.11155
"ENSG00000049541",0.61252,0.76259,1.9922e-06,0.89323,0.10677
"ENSG00000049769",0.77128,0.96976,2.9267e-05,0.56312,0.43686
"ENSG00000050030",0.064776,0.84695,0.99955,0.00045355,5.7303e-11
"ENSG00000050327",0.66696,0.72441,6.5054e-12,0.83915,0.16085
"ENSG00000050344",0.8735,1.583,7.9438e-11,0.14243,0.85757
"ENSG00000038295",0.23118,0.8724,0.27097,0.72903,1.1345e-10
"ENSG00000053438",0.24083,0.70069,0.32242,0.61605,0.061525
"ENSG00000054803",0.33739,0.48004,0.15286,0.78212,0.065018
"ENSG00000013297",0,0.54851,0.91704,0.082456,0.00050549
"ENSG00000054967",0.59198,1.0398,9.6968e-07,0.93254,0.067463
"ENSG00000057294",0.77767,0.99815,5.1869e-18,0.15447,0.84553
"ENSG00000058799",0.40458,1.017,0.0035661,0.98785,0.0085888
"ENSG00000133597",0.58377,0.85315,4.0443e-07,0.94988,0.050115
"ENSG00000040933",0.11488,0.59516,0.99989,0.00011303,3.2546e-15
"ENSG00000059804",0.28901,0.79854,0.064038,0.93537,0.00058779
"ENSG00000060140",0.78794,0.97649,1.2195e-10,0.32104,0.67896
"ENSG00000088256",0,0.32603,0.99596,0.0040376,2.891e-07
"ENSG00000060566",1.0222,0.9477,7.0504e-14,0.017124,0.98288
"ENSG00000061273",0.12518,0.66716,0.99944,0.00056372,1.6317e-13
"ENSG00000061794",0.81242,1.0638,3.2399e-09,0.31184,0.68816
"ENSG00000062725",0.11668,0.48475,0.99657,0.0034253,3.2437e-10
"ENSG00000063180",0.43828,0.61938,0.00097839,0.98789,0.011131
"ENSG00000063241",0.88262,0.97223,1.2414e-05,0.38964,0.61035
"ENSG00000012124",0.22029,0.92697,0.47171,0.52829,6.8852e-08
"ENSG00000063515",1.2941,1.1135,0.0043148,0.44304,0.55265
"ENSG00000067646",0.11729,0.62142,0.72688,0.27054,0.0025799
"ENSG00000053918",0.51793,0.72745,2.0728e-07,0.99402,0.0059838
"ENSG00000070985",0.7698,0.96394,1.3847e-21,0.12117,0.87883
"ENSG00000071575",0,0.67383,0.98551,0.014484,6.5911e-06
"ENSG00000068308",0,0.20732,0.99709,0.0029088,1.2985e-07
"ENSG00000068394",0,0.80288,0.99568,0.0043229,3.4156e-07
"ENSG00000021776",0.11861,0.63947,1,5.0942e-07,1.052e-23
"ENSG00000070526",0.77072,0.96653,1.567e-11,0.34946,0.65054
"ENSG00000071655",0,0.69538,0.97796,0.022026,1.85e-05
"ENSG00000071282",0.42256,0.87072,0.0012653,0.99098,0.0077537
"ENSG00000013275",0.23308,0.38207,0.3156,0.68426,0.00013735
"ENSG00000073598",0.69404,0.91519,0.00017115,0.70462,0.2952
"ENSG00000004660",0.34951,0.79914,0.0017579,0.99804,0.00020144
"ENSG00000072818",0.268,0.695,0.034201,0.9658,5.3046e-07
"ENSG00000072849",0.070781,0.60068,0.95619,0.043794,2.0623e-05
"ENSG00000074771",0.76196,1.0353,1.437e-14,0.29886,0.70114
"ENSG00000074855",0.19054,0.73532,0.90658,0.093418,3.9602e-10
"ENSG00000127663",0.056004,0.62109,1,4.8673e-07,6.7793e-19
"ENSG00000076662",1.6376,0.94522,1.116e-25,2.5962e-06,1
"ENSG00000077063",0.44837,0.92563,1.3886e-11,1,1.1527e-06
"ENSG00000077080",0.38715,0.43839,0.00062144,0.99848,0.00089749
"ENSG00000079616",0.5771,0.98212,3.1026e-09,0.98003,0.019972
"ENSG00000005001",0.48763,0.79985,0.0027284,0.94177,0.055499
"ENSG00000079385",0.42476,0.89287,0.00056749,0.99443,0.0050035
"ENSG00000047188",0.051034,0.95597,1,2.363e-10,1.1625e-27
"ENSG00000213999",0.51248,0.74629,0.002139,0.92293,0.074929
"ENSG00000064545",0.52594,0.87129,1.127e-06,0.98736,0.012642
"ENSG00000065970",0.10006,0.87208,0.99672,0.0032847,1.4472e-09
"ENSG00000067182",0.048694,0.61709,0.99585,0.0041515,6.2608e-08
"ENSG00000066455",0.34239,0.89259,7.794e-05,0.99992,1.2182e-06
"ENSG00000008300",0.17383,0.73806,0.99995,4.5426e-05,1.3787e-26
"ENSG00000068971",0.1161,0.58897,0.98472,0.015284,6.2316e-08
"ENSG00000068976",0.64574,0.99171,1.5163e-13,0.92461,0.075392
"ENSG00000069399",0,0.5432,0.98924,0.010756,3.1755e-06
"ENSG00000069943",0.75333,0.90448,2.3875e-11,0.42561,0.57439
"ENSG00000067840",0.15148,0.6002,0.87084,0.12915,1.3454e-05
"ENSG00000071677",0.90677,1.1854,0.099527,0.59492,0.30556
"ENSG00000070404",0,0.58384,0.91405,0.085394,0.00055306
"ENSG00000070886",0.48188,0.91657,1.098e-09,0.99984,0.00015621
"ENSG00000071539",0.079183,0.56407,0.9963,0.0036954,9.5354e-09
"ENSG00000071246",0.23879,0.68179,0.30897,0.68753,0.0034989
"ENSG00000186847",0.48061,0.85739,0.00022297,0.98125,0.018523
"ENSG00000171431",0.85349,0.9297,1.1579e-10,0.17504,0.82496
"ENSG00000072080",1.3874,1.1014,2.2302e-14,0.0023543,0.99765
"ENSG00000072506",0,0.31771,0.89669,0.10243,0.0008854
"ENSG00000075388",0.34988,0.68124,0.14176,0.78511,0.073124
"ENSG00000077009",1.4596,1.0244,1.6209e-11,0.0082793,0.99172
"ENSG00000073849",0.24984,0.77758,0.23839,0.7603,0.0013127
"ENSG00000075336",0.62163,0.99117,0.00010992,0.8312,0.16869
"ENSG00000078898",0.81094,0.93917,2.6512e-10,0.27111,0.72889
"ENSG00000079313",0.154,1.0049,0.9841,0.015895,5.6848e-10
"ENSG00000075975",0.3728,0.90527,0.0062041,0.9899,0.0038979
"ENSG00000076650",0.4757,0.90563,2.4656e-10,0.99995,5.4622e-05
"ENSG00000079999",0.37818,0.48957,0.00040419,0.99926,0.00033742
"ENSG00000078589",0.33072,0.66744,0.15937,0.77983,0.0608
"ENSG00000079308",0.24824,0.95233,0.042471,0.95753,5.2864e-12
"ENSG00000064300",0.2375,0.78331,0.29947,0.69976,0.00077294
"ENSG00000065320",0,0.63935,0.9994,0.0005976,2.7407e-09
"ENSG00000066583",0.87194,0.91713,6.7521e-08,0.2678,0.7322
"ENSG00000067445",0.49455,0.87757,3.0863e-05,0.98682,0.013151
"ENSG00000070444",0,0.82293,0.99777,0.0022339,6.8199e-08
"ENSG00000068697",0.4469,1.0111,0.004251,0.96462,0.031126
"ENSG00000069206",0.76554,1.075,7.7561e-19,0.18438,0.81562
"ENSG00000070669",0.47702,0.69933,7.4952e-06,0.99579,0.0042001
"ENSG00000072135",0.63071,0.95053,8.2953e-09,0.90271,0.097287
"ENSG00000069696",1.3186,1.3617,7.1237e-09,0.041234,0.95877
"ENSG00000070031",2.0265,1.0485,1.2912e-06,0.063494,0.9365
"ENSG00000072786",0.57482,0.81446,5.6297e-14,0.99689,0.0031122
"ENSG00000073861",0.047896,0.759,0.99635,0.0036542,4.5851e-08
"ENSG00000074410",0.87609,1.0194,1.945e-11,0.12096,0.87904
"ENSG00000137764",0.27796,0.63828,0.026929,0.97307,3.7632e-06
"ENSG00000078237",0.11691,0.67994,0.72892,0.26856,0.002524
"ENSG00000078579",0,1.233,0.81541,0.18055,0.0040368
"ENSG00000003987",0.70221,1.2357,3.1169e-14,0.66841,0.33159
"ENSG00000080618",0.96457,0.80879,2.9644e-17,0.0089978,0.991
"ENSG00000065809",0.87384,1.1527,6.5988e-08,0.26466,0.73534
"ENSG00000065883",0.17984,0.72046,0.97712,0.022876,2.337e-12
"ENSG00000080200",0.30784,0.93683,0.00055371,0.99945,7.2872e-08
"ENSG00000064201",0.52601,1.0147,0.0001188,0.95686,0.043022
"ENSG00000065308",0.13435,0.657,0.94546,0.054542,1.4647e-06
"ENSG00000066405",0.68753,0.84915,0.00018004,0.71519,0.28463
"ENSG00000065371",0.64621,0.98175,0.00072085,0.76973,0.22955
"ENSG00000065518",0.64909,1.1441,0.0058407,0.74086,0.2533
"ENSG00000068097",0.68394,0.90246,3.3178e-20,0.80992,0.19008
"ENSG00000068912",0.42008,0.87406,6.3933e-05,0.99897,0.00096353
"ENSG00000112782",0.73401,0.91116,1.2518e-06,0.60382,0.39617
"ENSG00000075568",0.13776,0.80132,1,4.8407e-06,1.0376e-22
"ENSG00000072954",0.63712,0.78642,0.00027034,0.79455,0.20518
"ENSG00000075089",0.69632,0.62359,2.31e-08,0.70301,0.29699
"ENSG00000078098",0.80975,0.92129,2.4528e-25,0.020682,0.97932
"ENSG00000064218",0.71208,1.3004,5.0396e-06,0.66488,0.33512
"ENSG00000154252",1.3564,0.98257,3.1399e-11,0.012205,0.98779
"ENSG00000065060",0.47395,0.88711,6.4419e-13,1,3.8786e-06
"ENSG00000081087",0.30928,0.74207,0.059866,0.93692,0.0032129
"ENSG00000081148",0.51823,1.0006,4.7591e-13,0.99985,0.00014627
"ENSG00000081800",0.90327,0.9181,9.2678e-18,0.016781,0.98322
"ENSG00000081818",0.92184,1.0237,8.0962e-12,0.073724,0.92628
"ENSG00000112852",0.69733,0.95877,6.3991e-07,0.69946,0.30054
"ENSG00000081870",0.64353,0.80249,0.0021033,0.76087,0.23703
"ENSG00000082146",0.38841,0.67749,0.0011946,0.99708,0.0017295
"ENSG00000082929",2.9569,1.4627,7.4276e-09,0.011525,0.98848
"ENSG00000083444",0.66079,0.93868,1.1703e-14,0.889,0.111
"ENSG00000083720",0.32357,0.56329,0.0041363,0.99581,5.864e-05
"ENSG00000083817",0.21859,0.84985,0.36214,0.59083,0.047032
"ENSG00000083842",0.36114,0.79616,0.01423,0.98006,0.0057082
"ENSG00000084444",0.29649,0.91803,0.017285,0.98268,3.6004e-05
"ENSG00000085514",1.1481,0.89111,6.6525e-12,0.018112,0.98189
"ENSG00000085721",0.41866,1.1105,1.4632e-05,0.99966,0.00032834
"ENSG00000166391",0.39147,1.0485,0.0087904,0.97982,0.011393
"ENSG00000167580",0.91953,0.76876,2.4372e-06,0.3036,0.6964
"ENSG00000086189",0.60187,0.90236,2.3098e-06,0.90973,0.09027
"ENSG00000086232",0.46435,0.92822,7.9033e-07,0.99911,0.00088679
"ENSG00000086288",1.0288,1.0506,6.6014e-28,8.9072e-05,0.99991
"ENSG00000086289",0.47793,1.1125,0.016033,0.89086,0.093112
"ENSG00000086504",0.94995,1.2836,1.1395e-07,0.19655,0.80345
"ENSG00000086506",1.3401,0.82923,0.00083234,0.3465,0.65266
"ENSG00000086548",0.77829,1.032,7.3976e-07,0.49088,0.50911
"ENSG00000086589",0,0.43289,0.99931,0.00069292,3.9307e-09
"ENSG00000086696",1.113,1.3079,2.3865e-10,0.039876,0.96012
"ENSG00000086827",0.32618,0.92519,0.0013846,0.9986,1.1636e-05
"ENSG00000132470",0.50192,0.95829,1.2426e-18,1,5.932e-07
"ENSG00000087074",0.86186,1.0348,1.7607e-12,0.10958,0.89042
"ENSG00000087077",0.40177,0.99935,0.0018298,0.99358,0.0045943
"ENSG00000073670",0.35995,0.6389,9.8082e-06,0.99999,9.7825e-07
"ENSG00000197208",0.66672,0.83401,1.2722e-08,0.80385,0.19615
"ENSG00000087237",1.1299,1.067,1.0293e-23,0.00013877,0.99986
"ENSG00000087250",0.50549,0.6834,0.070138,0.75012,0.17974
"ENSG00000087510",0.11703,0.53646,0.92704,0.07295,1.512e-05
"ENSG00000088002",0.21782,0.77894,0.41331,0.58514,0.0015557
"ENSG00000131037",0.759,0.98229,1.4393e-15,0.28772,0.71228
"ENSG00000088320",0.87178,0.86927,6.765e-08,0.26806,0.73194
"ENSG00000088356",0.80737,0.84345,0.00025909,0.55332,0.44642
"ENSG00000088808",0.15134,0.83162,0.99759,0.0024096,2.3052e-13
"ENSG00000166948",1.0186,1.0928,1.9413e-24,0.00037139,0.99963
"ENSG00000188559",0.42793,0.89997,9.0971e-15,1,9.9989e-10
"ENSG00000089048",0.27782,0.91509,0.020165,0.97983,1.1732e-06
"ENSG00000089163",1.1393,0.80911,9.1938e-10,0.04571,0.95429
"ENSG00000089195",0.4577,0.81496,2.65e-05,0.99658,0.0033924
"ENSG00000249115",0.49656,0.86164,1.5863e-09,0.99955,0.00045486
"ENSG00000010256",0.32362,0.90794,0.010998,0.98866,0.00034563
"ENSG00000089639",0.52918,0.71607,8.6696e-11,0.99879,0.0012073
"ENSG00000089692",0.24421,0.92631,0.24234,0.7574,0.00025702
"ENSG00000089693",0.14169,0.64204,0.80668,0.19312,0.00019775
"ENSG00000089723",1.3089,0.90857,4.404e-11,0.014883,0.98512
"ENSG00000090447",0,0.6688,0.99703,0.0029656,1.3613e-07
"ENSG00000090470",0.65949,0.83127,9.0288e-06,0.78355,0.21644
"ENSG00000090487",0.40089,0.74129,0.0037866,0.98832,0.0078891
"ENSG00000090539",0.33955,0.81537,9.0198e-05,0.99991,9.8766e-07
"ENSG00000090534",0.26458,0.90393,0.21966,0.77275,0.0075908
"ENSG00000090581",0.77721,1.4209,5.8992e-09,0.41525,0.58475
"ENSG00000090615",0.25621,0.97579,0.012895,0.9871,1.2906e-12
"ENSG00000090776",0,0.65336,0.90026,0.098928,0.00080887
"ENSG00000090863",0.11902,0.76807,1,2.5302e-06,2.5791e-21
"ENSG00000090932",0.51236,0.92309,5.719e-05,0.97398,0.025964
"ENSG00000090971",0.60165,0.71003,0.052334,0.70906,0.2386
"ENSG00000157426",0.61119,0.95965,1.3788e-13,0.97986,0.020141
"ENSG00000091140",0.31617,0.80467,0.0086009,0.9913,0.00010019
"ENSG00000091262",0.83019,1.0835,4.832e-35,0.0014323,0.99857
"ENSG00000091317",0.19107,0.82105,0.4262,0.54344,0.030365
"ENSG00000091536",0.68858,0.94843,2.9439e-56,0.87816,0.12184
"ENSG00000091583",1.0855,0.9619,1.2165e-13,0.012281,0.98772
"ENSG00000091640",0.55496,0.77373,0.00056399,0.90217,0.097262
"ENSG00000091986",0.42321,0.94548,5.9502e-06,0.99975,0.00024187
"ENSG00000092036",0.32043,0.83778,0.019352,0.97991,0.00074258
"ENSG00000092067",0.46905,0.97359,0.0075853,0.93098,0.061433
"ENSG00000092094",0.68629,0.85598,8.1917e-08,0.73464,0.26536
"ENSG00000092140",0.16818,0.66077,0.96987,0.030127,5.5759e-10
"ENSG00000092295",0.64805,1.0102,1.204e-12,0.90966,0.090339
"ENSG00000092607",0.18594,0.80794,0.71053,0.28944,2.6032e-05
"ENSG00000092850",0.91668,1.0982,2.1702e-12,0.065614,0.93439
"ENSG00000092929",0.5957,1.004,1.0437e-18,0.99777,0.0022342
"ENSG00000093217",0.93295,0.96622,2.8181e-21,0.0037879,0.99621
"ENSG00000094661",1.4205,1.0652,4.5916e-06,0.13012,0.86987
"ENSG00000187758",1.038,0.98732,2.5022e-11,0.039197,0.9608
"ENSG00000108244",0.9119,0.95548,5.8357e-13,0.058478,0.94152
"ENSG00000094804",0.6874,0.89374,9.8053e-10,0.73985,0.26015
"ENSG00000094914",0.72439,1.06,1.5378e-13,0.53152,0.46848
"ENSG00000094916",0,0.28469,0.93872,0.061046,0.00023501
"ENSG00000076321",0.30733,0.46601,0.0075935,0.99238,2.4308e-05
"ENSG00000095059",0.51467,1.0917,0.00013786,0.96444,0.035418
"ENSG00000167964",1.0881,1.1972,7.0498e-09,0.077722,0.92228
"ENSG00000095261",0.62989,0.94408,1.9444e-07,0.8807,0.1193
"ENSG00000095380",0.82409,0.90403,1.2229e-07,0.3597,0.6403
"ENSG00000095539",0.53414,0.87914,8.4809e-09,0.99511,0.0048923
"ENSG00000095917",1.2901,1.3318,9.185e-12,0.0114,0.9886
"ENSG00000174156",0.5618,1.1034,0.0013811,0.87522,0.1234
"ENSG00000156711",0.72863,0.90298,4.2806e-10,0.5621,0.4379
"ENSG00000096092",0.56759,0.75794,0.023027,0.77939,0.19758
"ENSG00000204314",0.24601,0.34149,0.30276,0.67991,0.017327
"ENSG00000096654",0.3202,0.63539,0.0046693,0.99528,4.9211e-05
"ENSG00000035403",0.24706,0.67928,0.079751,0.92025,1.1584e-09
"ENSG00000096717",0.27048,0.72696,0.081958,0.91796,7.9722e-05
"ENSG00000069702",0.30391,0.82448,0.0037858,0.99621,2.7292e-06
"ENSG00000099203",1.0474,0.84389,9.5847e-07,0.18666,0.81334
"ENSG00000099326",0.73601,1.0012,1.151e-10,0.51901,0.48099
"ENSG00000099330",0.62478,1.0747,0.00029996,0.81288,0.18682
"ENSG00000099341",0.29645,0.80423,0.076474,0.92136,0.0021701
"ENSG00000099365",0.060085,0.38478,0.98243,0.017565,2.143e-06
"ENSG00000099385",0.3547,0.77858,0.049653,0.92995,0.020395
"ENSG00000099617",0.47069,0.65554,0.037431,0.84337,0.1192
"ENSG00000099624",0.49234,0.82257,0.073487,0.75548,0.17103
"ENSG00000099721",1.7564,1.1193,8.1485e-05,0.18582,0.8141
"ENSG00000070388",1.4741,1.227,6.7881e-07,0.083033,0.91697
"ENSG00000095932",0.48537,0.8271,0.075382,0.75825,0.16637
"ENSG00000099795",0.81029,0.90562,0.0029929,0.60046,0.39655
"ENSG00000099797",0.27044,0.61541,0.10446,0.89527,0.00026164
"ENSG00000099800",0.53443,1.0881,0.063684,0.73793,0.19838
"ENSG00000099804",0,0.57526,0.95571,0.044181,0.0001042
"ENSG00000099812",0.85698,1.1345,7.5109e-12,0.13232,0.86768
"ENSG00000099817",0.93898,0.91155,7.5164e-09,0.15038,0.84962
"ENSG00000099860",0.29028,0.61909,0.21063,0.75207,0.037299
"ENSG00000099866",0.16886,0.83234,0.49412,0.48707,0.018807
"ENSG00000188130",0.62928,1.0595,5.5789e-07,0.87296,0.12704
"ENSG00000099937",0.99019,0.99679,2.1351e-10,0.070993,0.92901
"ENSG00000099940",0.33624,1.1707,0.062146,0.92333,0.014522
"ENSG00000099949",2.306,0.92478,2.2089e-89,6.3805e-24,1
"ENSG00000184436",0.41107,0.90925,0.013698,0.9581,0.028197
"ENSG00000099953",0.50566,0.88914,2.5606e-05,0.98294,0.017031
"ENSG00000240972",0.75882,1.0573,0.011685,0.6509,0.33741
"ENSG00000099974",0,0.96491,0.32945,0.49637,0.17418
"ENSG00000099984",0.73079,0.62477,0.012694,0.66808,0.31923
"ENSG00000099985",0,0.93448,0.60219,0.3635,0.034303
"ENSG00000099995",0.14988,0.43522,0.9893,0.010703,2.1531e-10
"ENSG00000184979",0.42009,0.82454,0.0013195,0.99137,0.0073073
"ENSG00000100012",1.2174,0.94963,4.2947e-23,8.6745e-05,0.99991
"ENSG00000100028",0,0.26937,0.86313,0.13503,0.0018335
"ENSG00000100030",0,0.25145,0.9973,0.0026983,1.0811e-07
"ENSG00000185339",0.55009,1.4071,4.9442e-06,0.96505,0.034948
"ENSG00000100053",1.1702,1.0143,2.6931e-11,0.021402,0.9786
"ENSG00000133422",0.10559,0.62699,0.99998,2.0288e-05,4.9589e-17
"ENSG00000100075",0.31023,0.72939,0.058824,0.93787,0.003303
"ENSG00000100078",0.80805,1.0201,2.2385e-11,0.23871,0.76129
"ENSG00000100079",0.60881,1.1151,0.019387,0.75015,0.23046
"ENSG00000241360",0.31257,0.75932,0.23903,0.65229,0.10868
"ENSG00000128203",0.20374,0.66775,0.50173,0.49748,0.00079313
"ENSG00000100097",0.78461,0.83266,0.003287,0.6208,0.37591
"ENSG00000100100",0.42964,0.78506,0.011178,0.95168,0.037145
"ENSG00000100104",0.90573,1.113,1.783e-07,0.24892,0.75108
"ENSG00000100122",0.53269,0.92185,0.00070371,0.92422,0.075072
"ENSG00000100124",0.41546,0.75129,0.0062859,0.97547,0.018241
"ENSG00000100139",0.48588,0.85939,4.4595e-07,0.99799,0.0020113
"ENSG00000100162",0.36745,0.84792,0.076014,0.87663,0.047361
"ENSG00000100206",0.45932,0.71794,5.888e-05,0.99464,0.0053029
"ENSG00000100209",0.45899,0.96837,0.0037021,0.95888,0.037414
"ENSG00000100216",0.13956,0.67315,0.61298,0.37951,0.0075149
"ENSG00000100218",0.58934,1.0577,0.00040909,0.86168,0.13791
"ENSG00000100219",0.36995,0.7433,0.022838,0.96344,0.013719
"ENSG00000100220",0.3398,0.7374,0.0041202,0.99559,0.00029128
"ENSG00000100221",0.35014,0.52644,0.052394,0.92878,0.018824
"ENSG00000100226",0.12524,0.51098,0.96954,0.030456,3.4171e-07
"ENSG00000100246",0.79208,0.82068,0.0031971,0.61479,0.38201
"ENSG00000100249",0.8897,1.0245,2.1108e-07,0.27153,0.72847
"ENSG00000100253",1.2595,1.0762,1.5401e-17,0.00085769,0.99914
